tconst	parentTconst	seasonNumber	episodeNumber
tt0074307	tt0165593	11	7
tt0074318	tt0167732	1	23
tt0074327	tt1466074	5	4
tt0074328	tt1466074	6	1
tt0074329	tt1466074	5	6
tt0074330	tt1466074	5	5
tt0074331	tt1466074	6	2
tt0074428	tt0165592	6	24
tt0074429	tt0762803	4	2
tt0074453	tt0165592	6	23
tt0074551	tt0165593	11	8
tt0074558	tt0075510	1	0
tt0074568	tt0073994	1	0
tt0074580	tt0207281	1	1
tt0074655	tt0075517	1	0
tt0074668	tt10549352	\N	\N
tt0074669	tt10549352	\N	\N
tt0074674	tt1049986	3	9
tt0074690	tt1043199	1	3
tt0074725	tt0762803	3	9
tt0074726	tt0165592	6	17
tt0074753	tt0075523	1	0
tt0074759	tt0259806	7	2
tt0074772	tt0075524	1	0
tt0074822	tt0762803	4	3
tt0074823	tt0165593	11	6
tt0074834	tt0077027	1	0
tt0074854	tt1049986	5	2
tt0074895	tt0762803	4	1
tt0074922	tt0074026	1	0
tt0074988	tt0165592	6	12
tt0075000	tt10549352	\N	\N
tt0075022	tt0075552	1	0
tt0075050	tt0165592	6	22
tt0075072	tt0762803	3	8
tt0075075	tt0331805	2	6
tt0075095	tt0762803	3	5
tt0075124	tt1380837	1	1
tt0075149	tt0165592	7	3
tt0075193	tt0074054	1	0
tt0075308	tt0806910	1	66
tt0075309	tt0806910	1	73
tt0075310	tt0806910	1	63
tt0075331	tt0165592	6	21
tt0075351	tt0165593	11	5
tt0075422	tt0169416	1	5
tt0075446	tt1049986	3	4
tt0075450	tt0165592	7	6
tt0075460	tt0806910	1	61
tt0075622	tt0165592	8	3
tt0075623	tt0958967	1	3
tt0075661	tt1294801	1	2
tt0075671	tt0076975	1	1
tt0075673	tt0165593	12	6
tt0075719	tt0167732	1	24
tt0075761	tt0400019	1	3
tt0075828	tt1724507	1	17
tt0075864	tt1466074	6	3
tt0075865	tt1466074	7	2
tt0075866	tt1466074	7	1
tt0075869	tt0165592	8	2
tt0075986	tt0400019	1	6
tt0076007	tt0958967	1	2
tt0076016	tt0077008	1	1
tt0076132	tt0165593	12	7
tt0076143	tt0400019	1	4
tt0076156	tt0934712	1	3
tt0076163	tt0400019	1	5
tt0076190	tt0077031	1	1
tt0076225	tt0075519	1	1
tt0076267	tt0208624	1	10
tt0076269	tt0159876	\N	\N
tt0076273	tt0165592	7	9
tt0076279	tt0806901	7	2
tt0076335	tt0075532	1	0
tt0076357	tt0075533	1	1
tt0076375	tt0927664	1	2
tt0076376	tt0165592	8	7
tt0076413	tt0400019	1	1
tt0076421	tt0075539	1	0
tt0076429	tt0806910	1	82
tt0076450	tt0075529	1	0
tt0076482	tt1245432	1	4
tt0076503	tt0075551	1	0
tt0076530	tt1049986	6	9
tt0076547	tt1245432	1	1
tt0076565	tt1057900	1	1
tt0076608	tt1049986	6	10
tt0076640	tt0075573	1	0
tt0076703	tt12919018	\N	\N
tt0076705	tt0958967	1	6
tt0076718	tt0958967	1	4
tt0076775	tt0165592	8	1
tt0076799	tt0806910	1	72
tt0076800	tt0806910	1	75
tt0076819	tt0400019	1	2
tt0076906	tt0165593	13	2
tt0076925	tt0165593	12	4
tt0076928	tt0199252	\N	\N
tt0076940	tt12919018	\N	\N
tt0076942	tt0165593	13	1
tt0077035	tt0165593	14	1
tt0077129	tt0165592	8	17
tt0077180	tt14801528	1	3
tt0077196	tt0078564	1	0
tt0077282	tt0165592	9	7
tt0077310	tt0120958	4	1
tt0077325	tt0046593	24	16
tt0077346	tt5272570	1	1
tt0077347	tt5272570	1	2
tt0077352	tt1466074	7	4
tt0077353	tt1466074	7	3
tt0077354	tt1466074	7	5
tt0077378	tt1245432	2	1
tt0077397	tt0165593	13	7
tt0077424	tt0165592	8	15
tt0077437	tt0165592	9	4
tt0077496	tt0068067	7	3
tt0077515	tt0075471	1	10
tt0077561	tt0958967	1	16
tt0077565	tt0165593	13	3
tt0077568	tt0077011	1	0
tt0077569	tt0958967	1	20
tt0077576	tt0806910	1	64
tt0077582	tt1471316	\N	\N
tt0077583	tt1245432	2	6
tt0077715	tt0958967	1	22
tt0077803	tt0208624	1	11
tt0077806	tt14801528	1	2
tt0077830	tt0958967	2	1
tt0077858	tt0298665	13	1
tt0077861	tt0078643	1	1
tt0077862	tt0958967	1	19
tt0077920	tt14801528	1	5
tt0077953	tt0958967	1	11
tt0078003	tt4322992	1	2
tt0078004	tt4322992	1	3
tt0078005	tt4322992	1	1
tt0078160	tt0077008	1	2
tt0078176	tt14801528	1	1
tt0078181	tt0806910	1	83
tt0078246	tt0071054	5	1
tt0078247	tt0958967	1	17
tt0078301	tt0165592	9	6
tt0078363	tt0806910	1	91
tt0078364	tt0806910	1	90
tt0078365	tt0806910	1	87
tt0078454	tt0077093	1	0
tt0078455	tt2786254	1	2
tt0078459	tt0159876	6	5
tt0078486	tt0958967	1	21
tt0078491	tt0165592	9	15
tt0078735	tt0762803	6	4
tt0078758	tt1294801	1	5
tt0078882	tt0165592	9	14
tt0078904	tt0077031	2	1
tt0078922	tt1686687	\N	\N
tt0078984	tt0165592	10	3
tt0078985	tt0165592	9	20
tt0078990	tt0081845	\N	\N
tt0078996	tt0958967	1	23
tt0079033	tt0078595	1	0
tt0079034	tt1245432	3	3
tt0079071	tt0072543	1	3
tt0079127	tt0120958	4	5
tt0079129	tt0078697	1	1
tt0079131	tt0958967	2	2
tt0079259	tt0080227	1	1
tt0079272	tt0078622	1	0
tt0079378	tt14801528	1	4
tt0079391	tt0078635	1	1
tt0079458	tt2487424	1	1
tt0079459	tt2487424	1	2
tt0079496	tt1686687	\N	\N
tt0079530	tt0806910	1	107
tt0079536	tt0165593	14	2
tt0079663	tt0958967	2	12
tt0079666	tt1015569	1	1
tt0079752	tt7810182	1	1
tt0079847	tt0078681	1	0
tt0079863	tt0762803	6	1
tt0079865	tt0806910	1	100
tt0079989	tt0806910	1	97
tt0079990	tt0806910	1	96
tt0079991	tt0806910	1	95
tt0079992	tt0806910	1	101
tt0079993	tt0806910	1	104
tt0079994	tt0806910	1	105
tt0079995	tt0806910	1	106
tt0080005	tt0080289	1	1
tt0080059	tt0159876	6	10
tt0080106	tt0165593	14	3
tt0080138	tt0165593	14	5
tt0080263	tt0079902	1	2
tt0080400	tt3662072	\N	\N
tt0080507	tt0762803	7	1
tt0080744	tt0081863	1	0
tt0080782	tt0762803	6	9
tt0080819	tt0762803	7	5
tt0080860	tt14801528	1	6
tt0080866	tt0806910	1	119
tt0080918	tt0762803	6	15
tt0080954	tt0165592	11	10
tt0080967	tt0762803	7	13
tt0081054	tt0159876	\N	\N
tt0081103	tt0080240	1	1
tt0081143	tt0927664	1	5
tt0081251	tt0165592	11	6
tt0081275	tt0165593	15	2
tt0081282	tt0762803	6	25
tt0081333	tt0762803	6	8
tt0081444	tt0199214	1	2
tt0081462	tt0806910	1	113
tt0081468	tt0075471	4	1
tt0081487	tt0053510	1	813
tt0081516	tt0080231	1	7
tt0081524	tt0080276	1	0
tt0081548	tt0806910	1	114
tt0081599	tt0806910	1	111
tt0081600	tt0806910	1	112
tt0081601	tt0806910	1	108
tt0081602	tt0806910	1	117
tt0081603	tt0806910	1	118
tt0081604	tt0806910	1	115
tt0081683	tt13498224	\N	\N
tt0082008	tt0081826	1	0
tt0082018	tt0202179	11	1
tt0082024	tt0176357	1	5
tt0082067	tt0806910	1	122
tt0082104	tt0081837	1	1
tt0082130	tt0083395	1	0
tt0082188	tt0081843	1	0
tt0082191	tt0176357	1	6
tt0082390	tt0165592	11	8
tt0082458	tt0075471	3	8
tt0082604	tt0176357	2	4
tt0082901	tt0083464	1	0
tt0082913	tt0192937	\N	\N
tt0083132	tt0399943	3	4
tt0083140	tt0159876	\N	\N
tt0083171	tt0806910	1	124
tt0083172	tt0806910	1	125
tt0083173	tt0806910	1	126
tt0083174	tt0806910	1	131
tt0083175	tt0806910	1	130
tt0083176	tt0806910	1	128
tt0083177	tt0806910	1	123
tt0083231	tt0053510	1	818
tt0083325	tt0176357	1	4
tt0083523	tt0046593	28	22
tt0083531	tt12753314	\N	\N
tt0083536	tt0159876	12	2
tt0083566	tt0165592	13	8
tt0083613	tt0176357	1	25
tt0083626	tt1480503	1	71
tt0083787	tt1012950	1	1
tt0083809	tt1380834	1	1
tt0083856	tt0192937	\N	\N
tt0083862	tt0969784	2	11
tt0083935	tt0176357	1	9
tt0083985	tt1480503	1	36
tt0084022	tt0176357	1	10
tt0084024	tt0202179	12	5
tt0084035	tt0080231	1	10
tt0084082	tt0165592	12	19
tt0084093	tt0085032	1	0
tt0084097	tt0762803	8	14
tt0084142	tt0165592	13	4
tt0084161	tt0199214	2	4
tt0084185	tt0169446	\N	\N
tt0084186	tt1012950	5	1
tt0084209	tt0176357	1	2
tt0084215	tt15175450	1	1
tt0084218	tt0083437	1	1
tt0084257	tt0165593	15	3
tt0084275	tt1480503	1	11
tt0084312	tt7000188	1	9
tt0084371	tt0176357	1	17
tt0084499	tt0176357	1	11
tt0084537	tt0176357	1	16
tt0084603	tt0259794	1	3
tt0084641	tt0846838	1	3
tt0084642	tt0846838	1	2
tt0084647	tt0080336	1	0
tt0084653	tt0176357	1	3
tt0084676	tt1012950	4	3
tt0084703	tt0806910	1	133
tt0084731	tt0806910	1	137
tt0084754	tt0083486	1	1
tt0084758	tt0046593	28	14
tt0084759	tt0083488	1	1
tt0084765	tt0806910	1	139
tt0084766	tt0806910	1	132
tt0084767	tt0806910	1	138
tt0084768	tt0806910	1	134
tt0084769	tt0806910	1	140
tt0084770	tt0806910	1	143
tt0084771	tt0806910	1	135
tt0084804	tt0165592	12	16
tt0084885	tt0046593	28	12
tt0084916	tt0176357	1	14
tt0085193	tt0075474	7	5
tt0085197	tt0806901	13	1
tt0085259	tt0806910	1	147
tt0085343	tt0176357	3	12
tt0085386	tt0085002	1	1
tt0085523	tt0176357	2	3
tt0085534	tt0898240	1	1
tt0085538	tt0176357	2	5
tt0085558	tt0176357	2	8
tt0085630	tt1287866	1	8
tt0085651	tt0075471	6	1
tt0085677	tt0096552	\N	\N
tt0085686	tt7000188	1	11
tt0085727	tt0165593	16	3
tt0085729	tt0159876	11	11
tt0085826	tt1155386	1	1
tt0085827	tt1155386	1	2
tt0085828	tt1155386	1	3
tt0085847	tt0270639	\N	\N
tt0085898	tt0085051	1	1
tt0085914	tt0085055	1	1
tt0085917	tt0176357	4	2
tt0085942	tt2286153	1	6
tt0085944	tt0176357	2	2
tt0086052	tt0202179	13	7
tt0086109	tt0199214	3	3
tt0086114	tt0167732	1	18
tt0086116	tt0077082	6	26
tt0086202	tt0086791	1	1
tt0086210	tt0176357	2	12
tt0086211	tt0085081	1	1
tt0086223	tt0085084	1	0
tt0086249	tt0085088	1	1
tt0086297	tt0081930	3	6
tt0086376	tt10402962	1	4
tt0086400	tt0147770	1	8
tt0086414	tt0806910	1	152
tt0086415	tt0806910	1	146
tt0086416	tt0806910	1	144
tt0086417	tt0806910	1	148
tt0086418	tt0806910	1	149
tt0086481	tt0176357	3	3
tt0086514	tt12729202	1	1
tt0086530	tt1856236	1	8
tt0086905	tt2158111	1	3
tt0086970	tt0147770	1	7
tt0087012	tt0199184	8	14
tt0087025	tt0086678	1	1
tt0087051	tt0080231	1	8
tt0087059	tt0199214	4	5
tt0087079	tt0176357	3	14
tt0087087	tt0147770	1	10
tt0087093	tt0086690	1	0
tt0087106	tt0147770	1	3
tt0087124	tt0985040	1	1
tt0087153	tt0147770	1	4
tt0087199	tt0199214	4	7
tt0087259	tt0086712	1	1
tt0087296	tt15175450	1	2
tt0087321	tt0806910	1	160
tt0087331	tt0176357	3	1
tt0087339	tt0086722	1	1
tt0087342	tt0176357	4	5
tt0087357	tt0167732	1	16
tt0087388	tt0176357	3	9
tt0087395	tt0985040	2	1
tt0087410	tt0812202	1	4
tt0087427	tt0086733	1	1
tt0087437	tt0086734	1	1
tt0087467	tt0147770	1	6
tt0087554	tt0176357	3	10
tt0087598	tt0147770	1	2
tt0087601	tt0147770	1	5
tt0087632	tt0199214	6	2
tt0087654	tt0167732	1	15
tt0087713	tt0167732	1	9
tt0087717	tt0086759	1	1
tt0087721	tt0806910	1	169
tt0087757	tt0086765	1	0
tt0087783	tt0167732	1	8
tt0087801	tt0176357	4	13
tt0087820	tt0167732	1	20
tt0087832	tt2158111	1	2
tt0087833	tt2158111	1	1
tt0087890	tt0167732	1	13
tt0087919	tt0167732	1	10
tt0087954	tt0176357	3	2
tt0087990	tt0176357	3	7
tt0088030	tt0167732	1	3
tt0088051	tt0974356	\N	\N
tt0088061	tt0846838	1	4
tt0088062	tt0846838	1	5
tt0088144	tt0165592	13	1
tt0088148	tt0176357	4	3
tt0088189	tt10402962	1	6
tt0088190	tt10402962	1	5
tt0088232	tt0806910	1	163
tt0088233	tt0806910	1	154
tt0088234	tt0806910	1	157
tt0088235	tt0806910	1	156
tt0088236	tt0806910	1	164
tt0088237	tt0806910	1	158
tt0088238	tt0806910	1	155
tt0088239	tt0806910	1	159
tt0088244	tt0147770	1	13
tt0088283	tt0806901	20	8
tt0088304	tt0167732	1	11
tt0088317	tt0167732	1	6
tt0088325	tt0297626	1	3
tt0088387	tt0812202	1	3
tt0088439	tt0165592	14	3
tt0088588	tt0149504	1	0
tt0088656	tt0088655	1	2
tt0088657	tt0088655	1	3
tt0088666	tt0820333	1	3
tt0088672	tt0167732	1	17
tt0088677	tt0176357	5	4
tt0088692	tt0088476	1	0
tt0088728	tt0088622	1	9
tt0088742	tt0046593	31	5
tt0088755	tt0806910	1	187
tt0088759	tt0985040	3	3
tt0088798	tt1729107	1	7
tt0088825	tt0297626	2	10
tt0088832	tt0297626	3	2
tt0088901	tt0176357	4	11
tt0088909	tt0147770	1	12
tt0088935	tt0088495	1	1
tt0088949	tt0297626	1	1
tt0089027	tt0088507	1	6
tt0089197	tt15175450	1	3
tt0089232	tt0159876	13	24
tt0089262	tt0159876	\N	\N
tt0089291	tt0297626	2	5
tt0089387	tt0159876	13	10
tt0089455	tt0088549	1	1
tt0089492	tt0199184	10	16
tt0089528	tt0088558	1	1
tt0089548	tt0167732	1	28
tt0089570	tt0297626	2	1
tt0089596	tt0078657	6	7
tt0089602	tt0088568	1	1
tt0089616	tt0159876	15	1
tt0089619	tt0088571	1	1
tt0089701	tt0176357	4	6
tt0089759	tt0176357	\N	\N
tt0089833	tt2286153	1	12
tt0089915	tt0167732	1	12
tt0089944	tt0297626	2	9
tt0089969	tt0806910	1	176
tt0089975	tt0806901	8	5
tt0090004	tt0088606	1	1
tt0090072	tt2392446	\N	\N
tt0090131	tt0806910	1	166
tt0090132	tt0806910	1	171
tt0090133	tt0806910	1	170
tt0090134	tt0806910	1	167
tt0090135	tt0806910	1	172
tt0090136	tt0806910	1	174
tt0090158	tt3469694	1	3
tt0090164	tt0176357	4	18
tt0090176	tt0297626	2	3
tt0090187	tt0248656	1	6
tt0090231	tt0176357	4	14
tt0090320	tt1287866	2	5
tt0090328	tt0080231	1	1
tt0090560	tt0167732	1	22
tt0090607	tt0176357	6	1
tt0090680	tt0046593	31	4
tt0090732	tt0820333	2	6
tt0090751	tt0083486	5	16
tt0090780	tt0190210	1	3
tt0090803	tt0046593	30	16
tt0090804	tt0088622	1	3
tt0090858	tt0297626	3	1
tt0090885	tt0090410	1	1
tt0090943	tt0090481	1	1
tt0090947	tt0364151	2	2
tt0090975	tt1686687	\N	\N
tt0090990	tt0297626	3	5
tt0091048	tt0046593	30	10
tt0091111	tt0820333	2	5
tt0091115	tt0046593	30	5
tt0091146	tt0167732	1	21
tt0091186	tt0090445	1	1
tt0091194	tt0046593	30	1
tt0091198	tt0046593	31	2
tt0091222	tt0297626	2	8
tt0091248	tt0046593	30	9
tt0091262	tt0820333	3	3
tt0091279	tt0364151	2	1
tt0091280	tt0090460	1	1
tt0091368	tt0090466	1	1
tt0091386	tt0090469	1	0
tt0091393	tt0884889	1	3
tt0091394	tt1155386	1	4
tt0091395	tt0046593	31	7
tt0091418	tt0985040	4	2
tt0091420	tt0046593	31	3
tt0091432	tt0167732	1	25
tt0091478	tt0806901	18	2
tt0091566	tt0046593	30	11
tt0091606	tt0297626	3	6
tt0091634	tt0364151	2	4
tt0091649	tt0297626	3	7
tt0091708	tt0090498	1	1
tt0091821	tt0092434	1	0
tt0091852	tt0046593	30	7
tt0091854	tt0806910	1	181
tt0091858	tt0176357	5	1
tt0091861	tt0176357	5	16
tt0091864	tt0176357	5	13
tt0091870	tt2013869	1	4
tt0091901	tt0974356	\N	\N
tt0091906	tt1087545	2	5
tt0092027	tt0046593	31	9
tt0092028	tt0176357	5	19
tt0092039	tt0086791	2	5
tt0092055	tt1087545	2	4
tt0092056	tt0806910	1	182
tt0092057	tt1087545	2	2
tt0092058	tt0806910	1	180
tt0092059	tt0806910	1	188
tt0092060	tt0806910	1	179
tt0092061	tt0806910	1	184
tt0092062	tt0806910	1	185
tt0092063	tt0806910	1	186
tt0092077	tt0046593	31	8
tt0092152	tt0077082	7	14
tt0092269	tt0046593	30	13
tt0092277	tt0297626	2	13
tt0092318	tt0346222	1	7
tt0092396	tt1531715	1	1
tt0092518	tt0297626	3	4
tt0092594	tt0884889	\N	\N
tt0092595	tt0167606	1	11
tt0092657	tt0046593	31	19
tt0092696	tt0046593	31	23
tt0092724	tt1049304	2	4
tt0092766	tt0088621	3	7
tt0092893	tt0088507	1	1
tt0092894	tt0088507	1	13
tt0092895	tt0088507	1	15
tt0092918	tt0176357	6	10
tt0092919	tt0046593	31	22
tt0092920	tt0046593	31	15
tt0092968	tt0985040	4	7
tt0092970	tt0200358	23	1
tt0092975	tt0884889	\N	\N
tt0092977	tt0297626	4	5
tt0093060	tt0167732	1	33
tt0093064	tt0167732	1	30
tt0093100	tt0297626	3	11
tt0093114	tt1570506	1	1
tt0093123	tt0167606	1	13
tt0093154	tt0167606	1	10
tt0093168	tt0297626	3	9
tt0093187	tt0094477	1	0
tt0093189	tt0094479	1	0
tt0093222	tt0176357	6	8
tt0093226	tt0092374	1	1
tt0093292	tt0092381	1	2
tt0093294	tt0159876	\N	\N
tt0093372	tt0346222	1	2
tt0093387	tt0092389	1	1
tt0093397	tt0121027	23	6
tt0093414	tt0046593	31	17
tt0093439	tt0167732	1	29
tt0093510	tt0090481	2	1
tt0093511	tt5884844	\N	\N
tt0093530	tt0820333	4	5
tt0093570	tt0167732	1	26
tt0093602	tt0159876	\N	\N
tt0093642	tt0167732	1	36
tt0093783	tt0092430	1	1
tt0093787	tt0176357	6	2
tt0093806	tt0297626	3	12
tt0093815	tt0318224	\N	\N
tt0093817	tt0094416	1	2
tt0093842	tt0083470	5	1
tt0093852	tt0046593	32	3
tt0093868	tt1049304	2	10
tt0093887	tt1686687	\N	\N
tt0093923	tt0974356	\N	\N
tt0093929	tt0846838	1	8
tt0093971	tt0163492	2	15
tt0094030	tt0092455	1	1
tt0094051	tt0176357	7	1
tt0094083	tt0176357	7	11
tt0094088	tt0297626	4	3
tt0094109	tt0806910	1	191
tt0094110	tt0806910	1	199
tt0094111	tt0806910	1	197
tt0094112	tt0806910	1	193
tt0094113	tt0806910	1	194
tt0094114	tt0806910	1	192
tt0094115	tt0806910	1	198
tt0094116	tt0806910	1	196
tt0094119	tt0364151	2	9
tt0094186	tt5884844	\N	\N
tt0094193	tt0167732	1	35
tt0094225	tt1570506	1	2
tt0094273	tt0297626	4	1
tt0094275	tt0297626	3	8
tt0094311	tt0092480	1	1
tt0094330	tt0092484	1	1
tt0094360	tt0046593	31	16
tt0094362	tt0046593	31	20
tt0094409	tt0884889	\N	\N
tt0094458	tt0889258	1	1
tt0094539	tt0159876	\N	\N
tt0094541	tt0075471	11	3
tt0094603	tt0046593	33	5
tt0094636	tt0094414	1	1
tt0094640	tt0884889	\N	\N
tt0094697	tt0159876	15	9
tt0094742	tt0176357	7	15
tt0094808	tt0882736	1	1
tt0094867	tt0094433	1	0
tt0094877	tt0174386	1	4
tt0094953	tt0046593	33	4
tt0094978	tt0297626	5	1
tt0094982	tt0092337	1	1
tt0094983	tt0092337	1	10
tt0094984	tt0092337	1	2
tt0094985	tt0092337	1	3
tt0094986	tt0092337	1	4
tt0094987	tt0092337	1	5
tt0094988	tt0092337	1	6
tt0094989	tt0092337	1	7
tt0094990	tt0092337	1	8
tt0094991	tt0092337	1	9
tt0095013	tt0174386	1	2
tt0095018	tt1570506	1	4
tt0095023	tt0088507	1	8
tt0095024	tt0088507	1	9
tt0095025	tt0088507	1	10
tt0095026	tt0088507	1	11
tt0095027	tt0088507	1	12
tt0095028	tt0088507	1	14
tt0095029	tt0159410	1	4
tt0095030	tt0088507	1	7
tt0095049	tt14540766	1	4
tt0095077	tt0046593	32	11
tt0095112	tt0174386	1	1
tt0095130	tt0094416	2	3
tt0095158	tt0297626	5	8
tt0095164	tt0297626	5	3
tt0095202	tt0094999	1	1
tt0095259	tt0166458	2	1
tt0095282	tt0809273	\N	\N
tt0095283	tt0809273	\N	\N
tt0095284	tt0809273	\N	\N
tt0095287	tt0094475	1	1
tt0095328	tt0094482	1	1
tt0095343	tt0176357	7	13
tt0095420	tt0046593	32	22
tt0095509	tt1155386	1	5
tt0095553	tt1049304	4	3
tt0095603	tt0174386	1	3
tt0095639	tt14540766	1	2
tt0095661	tt3782882	\N	\N
tt0095664	tt0083402	4	3
tt0095667	tt15175450	1	5
tt0095671	tt0095670	1	6
tt0095672	tt0095670	1	4
tt0095673	tt0095670	1	3
tt0095674	tt0095670	1	5
tt0095691	tt0106078	1	3
tt0095695	tt1634348	1	3
tt0095748	tt0166458	2	7
tt0095775	tt1570506	1	3
tt0095783	tt0297625	2	6
tt0095858	tt0094524	1	4
tt0095907	tt0297626	7	6
tt0095910	tt12642334	1	5
tt0095911	tt12642334	1	2
tt0095998	tt0199184	13	15
tt0096001	tt0046593	32	13
tt0096086	tt0166458	2	4
tt0096135	tt0297626	6	7
tt0096165	tt1049304	3	11
tt0096195	tt0094560	1	0
tt0096225	tt0806910	1	206
tt0096227	tt0806910	1	209
tt0096228	tt0806910	1	211
tt0096229	tt0806910	1	205
tt0096230	tt0806910	1	214
tt0096231	tt0806910	1	208
tt0096232	tt0806910	1	201
tt0096233	tt0806910	1	207
tt0096234	tt0806910	1	212
tt0096255	tt0094416	1	10
tt0096305	tt0176357	7	12
tt0096327	tt1686687	\N	\N
tt0096330	tt0313144	1	1
tt0096361	tt0158415	1	4
tt0096362	tt0158415	1	1
tt0096363	tt0158415	1	2
tt0096373	tt14540766	1	3
tt0096374	tt1634348	1	2
tt0096395	tt0297626	5	6
tt0096449	tt0820333	4	3
tt0096481	tt14540766	1	6
tt0096518	tt0167726	1	11
tt0096781	tt1615489	2	2
tt0096792	tt0806910	1	221
tt0096805	tt0346222	3	6
tt0096835	tt0176357	8	2
tt0096864	tt0096538	2	4
tt0096865	tt0096538	1	1
tt0096955	tt0297625	1	7
tt0096983	tt0364151	3	7
tt0097061	tt0096558	1	1
tt0097110	tt0255726	1	2
tt0097218	tt1685403	\N	\N
tt0097246	tt0806901	20	10
tt0097272	tt0346222	3	5
tt0097300	tt0094456	2	6
tt0097324	tt1342141	1	1
tt0097346	tt0297626	7	4
tt0097430	tt0096594	1	1
tt0097451	tt0099283	1	6
tt0097484	tt0809273	\N	\N
tt0097485	tt0809273	\N	\N
tt0097486	tt0809273	\N	\N
tt0097491	tt1601983	2	1
tt0097514	tt6677224	1	1
tt0097736	tt1395811	\N	\N
tt0097763	tt0096619	1	11
tt0097783	tt1685403	\N	\N
tt0097795	tt24133870	1	2
tt0097822	tt0297626	6	2
tt0097847	tt1601983	2	9
tt0097906	tt0096619	1	6
tt0097907	tt0094512	2	7
tt0097920	tt0297625	1	6
tt0097924	tt0095670	1	7
tt0097925	tt0095670	1	2
tt0097945	tt0106078	1	7
tt0097946	tt0106078	1	5
tt0097947	tt0106078	1	6
tt0097948	tt0106078	1	8
tt0097983	tt0297625	1	2
tt0097989	tt0166458	3	1
tt0097993	tt1615489	1	3
tt0098021	tt0297626	6	1
tt0098028	tt0297625	1	1
tt0098041	tt0159876	\N	\N
tt0098106	tt0046593	34	6
tt0098132	tt12642334	1	4
tt0098133	tt12642334	1	3
tt0098134	tt12642334	1	1
tt0098135	tt12642334	1	6
tt0098151	tt0096684	1	1
tt0098166	tt0176357	8	1
tt0098266	tt1226281	1	1
tt0098286	tt0098904	1	1
tt0098301	tt1615489	1	6
tt0098349	tt0166458	3	4
tt0098371	tt1049304	4	8
tt0098393	tt0265408	1	3
tt0098445	tt0806910	1	222
tt0098446	tt0806910	1	217
tt0098447	tt0806910	1	224
tt0098448	tt0806910	1	226
tt0098449	tt0806910	1	225
tt0098450	tt0806910	1	215
tt0098494	tt0096712	1	1
tt0098504	tt3782882	\N	\N
tt0098526	tt0096718	1	1
tt0098553	tt1342141	1	3
tt0098561	tt0313144	1	4
tt0098576	tt0158415	1	3
tt0098581	tt0166458	3	7
tt0098670	tt0096731	1	1
tt0098671	tt0166458	1	1
tt0098722	tt0096733	1	1
tt0098755	tt0133302	8	8
tt0099003	tt0297626	7	12
tt0099032	tt1049304	5	1
tt0099037	tt0176357	9	4
tt0099139	tt0313144	1	10
tt0099217	tt0098761	1	1
tt0099222	tt0265408	1	2
tt0099279	tt0297626	6	4
tt0099370	tt0098889	1	4
tt0099383	tt0099231	2	2
tt0099427	tt1342141	1	2
tt0099457	tt0809273	\N	\N
tt0099526	tt0046593	34	13
tt0099530	tt12606372	1	6
tt0099532	tt0265408	1	4
tt0099542	tt0098792	1	0
tt0099580	tt0098798	1	0
tt0099661	tt0985040	7	3
tt0099727	tt0159876	\N	\N
tt0099744	tt0809273	\N	\N
tt0099745	tt0809273	\N	\N
tt0099746	tt0809273	\N	\N
tt0099781	tt0176357	10	4
tt0099811	tt0086734	7	1
tt0099835	tt0313144	1	12
tt0099851	tt0176357	10	1
tt0099952	tt0297626	6	12
tt0099971	tt1049304	5	5
tt0099992	tt0297626	7	7
tt0100155	tt0167566	\N	\N
tt0100216	tt0094525	3	1
tt0100255	tt1049304	5	3
tt0100316	tt0098884	1	1
tt0100370	tt1634348	1	1
tt0100406	tt0099231	2	3
tt0100439	tt0166458	4	9
tt0100474	tt0167566	\N	\N
tt0100482	tt0167566	\N	\N
tt0100492	tt0806910	1	241
tt0100515	tt0096552	\N	\N
tt0100578	tt0176357	9	1
tt0100580	tt1601983	3	5
tt0100642	tt0297626	6	8
tt0100658	tt0166458	4	1
tt0100664	tt0815353	1	7
tt0100710	tt0098889	1	10
tt0100718	tt0098916	1	1
tt0100724	tt0297625	2	4
tt0100748	tt0806910	1	237
tt0100749	tt0806910	1	229
tt0100750	tt0806910	1	227
tt0100751	tt0806910	1	231
tt0100752	tt0806910	1	236
tt0100753	tt0806910	1	228
tt0100754	tt0806901	20	9
tt0100755	tt0806910	1	233
tt0100770	tt0297626	7	11
tt0100818	tt0167566	\N	\N
tt0100900	tt0364151	6	10
tt0100948	tt0176357	9	2
tt0100953	tt1615489	2	4
tt0101095	tt13031912	1	1
tt0101179	tt0401056	2	1
tt0101246	tt0297626	7	5
tt0101271	tt0297625	3	9
tt0101274	tt0346328	1	1
tt0101300	tt0297625	3	7
tt0101352	tt24133870	1	6
tt0101358	tt1049304	5	2
tt0101443	tt0806901	21	3
tt0101480	tt0139780	1	5
tt0101655	tt3687174	\N	\N
tt0101729	tt0094456	6	10
tt0101750	tt0298685	2	2
tt0101835	tt12606372	1	3
tt0101836	tt12606372	1	1
tt0101837	tt12606372	1	2
tt0101838	tt12606372	1	4
tt0101840	tt12606372	1	5
tt0101894	tt0297626	8	2
tt0101915	tt0159876	19	4
tt0101971	tt0176357	10	2
tt0101972	tt0297626	8	1
tt0102012	tt0297626	7	1
tt0102111	tt1615489	2	3
tt0102143	tt2138025	\N	\N
